Generated by WizTree 4.25 21/04/2025 2:49:26 AM (You can hide this message by making a donation)
Extension,File Type,Percent,Size,Allocated,Files
".snu","SNU File",20.778,2379597360,2439372800,29430
".str","STR File",10.459,1197807616,1198415872,550
".vp6","VP6 File",50.835,5821886960,5822251008,172
".mus","MUS File",17.805,2039098368,2039132160,17
".lua","Lua Source File",0.001,87824,94208,3
".bin","BIN File",0.123,14073144,14073856,1
".txt","Text Document",0.000,128,0,1
